Luxembourg, Death rates (period 1x10), 	Last modified: 06 Jan 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2010-2019        3             0.000065        0.000093        0.000079
2010-2019        4             0.000163        0.000155        0.000159
2010-2019        5             0.000000        0.000094        0.000048
2010-2019        6             0.000066        0.000093        0.000080
2010-2019        7             0.000000        0.000062        0.000032
2010-2019        8             0.000000        0.000031        0.000016
2010-2019        9             0.000066        0.000031        0.000048
2010-2019       10             0.000000        0.000062        0.000032
2010-2019       11             0.000066        0.000062        0.000064
2010-2019       12             0.000099        0.000031        0.000064
2010-2019       13             0.000033        0.000092        0.000063
2010-2019       14             0.000065        0.000122        0.000094
2010-2019       15             0.000129        0.000183        0.000156
2010-2019       16             0.000287        0.000213        0.000249
2010-2019       17             0.000222        0.000241        0.000232
2010-2019       18             0.000095        0.000390        0.000246
2010-2019       19             0.000125        0.000565        0.000350
2010-2019       20             0.000216        0.000471        0.000346
2010-2019       21             0.000061        0.000749        0.000413
2010-2019       22             0.000149        0.000426        0.000291
2010-2019       23             0.000203        0.000470        0.000339
2010-2019       24             0.000195        0.000374        0.000287
2010-2019       25             0.000187        0.000331        0.000261
2010-2019       26             0.000206        0.000443        0.000328
2010-2019       27             0.000225        0.000337        0.000282
2010-2019       28             0.000391        0.000544        0.000469
2010-2019       29             0.000238        0.000679        0.000460
2010-2019       30             0.000330        0.000724        0.000528
2010-2019       31             0.000187        0.000510        0.000349
2010-2019       32             0.000300        0.000602        0.000451
2010-2019       33             0.000323        0.000507        0.000415
2010-2019       34             0.000483        0.000482        0.000482
2010-2019       35             0.000321        0.000593        0.000457
2010-2019       36             0.000436        0.000572        0.000504
2010-2019       37             0.000277        0.000983        0.000632
2010-2019       38             0.000462        0.001005        0.000735
2010-2019       39             0.000464        0.001049        0.000759
2010-2019       40             0.000696        0.001000        0.000850
2010-2019       41             0.000696        0.000880        0.000790
2010-2019       42             0.000557        0.001250        0.000910
2010-2019       43             0.000833        0.001326        0.001085
2010-2019       44             0.000738        0.001299        0.001025
2010-2019       45             0.001387        0.001661        0.001528
2010-2019       46             0.001128        0.001985        0.001570
2010-2019       47             0.001481        0.001814        0.001653
2010-2019       48             0.001376        0.002623        0.002022
